[INFO - 2024-01-22 18:14:27,243][__main__] Generating download url for "The Office - s06e05 - Niagara Part 2.mp4" with Playon Api data
[INFO - 2024-01-22 18:14:27,243][__main__] Attempting Download of "The Office - s06e05 - Niagara Part 2.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 18:14:31,849][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e05 - Niagara Part 2.mp4" complete.
[INFO - 2024-01-22 18:17:59,188][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 18:48:07,738][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 18:48:09,270][__main__] Determining which files need processing
[INFO - 2024-01-22 18:48:09,271][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 18:48:09,271][__main__] Attempting retreival of download url data for "The Office - s06e06 - Mafia.mp4"
[INFO - 2024-01-22 18:48:39,390][__main__] Generating download url for "The Office - s06e06 - Mafia.mp4" with Playon Api data
[INFO - 2024-01-22 18:48:39,391][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 18:48:40,038][__main__] Attempting Download of "The Office - s06e06 - Mafia.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 18:48:47,180][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e06 - Mafia.mp4" complete.
[INFO - 2024-01-22 18:52:41,783][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 19:22:55,179][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 19:22:56,014][__main__] Determining which files need processing
[INFO - 2024-01-22 19:22:56,015][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 19:22:56,016][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 19:22:56,510][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 19:22:56,987][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 19:52:57,773][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 19:52:58,584][__main__] Determining which files need processing
[INFO - 2024-01-22 19:52:58,585][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 19:52:58,585][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 19:52:58,960][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 19:52:59,399][__main__] Attempting retreival of download url data for "The Office - s06e09 - Double Date.mp4"
[INFO - 2024-01-22 19:52:59,924][__main__] Attempting retreival of download url data for "The Office - s06e10 - Murder.mp4"
[INFO - 2024-01-22 19:53:00,419][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 20:23:01,671][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 20:23:02,686][__main__] Determining which files need processing
[INFO - 2024-01-22 20:23:02,687][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 20:23:02,688][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 20:23:03,606][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 20:23:04,236][__main__] Attempting retreival of download url data for "The Office - s06e09 - Double Date.mp4"
[INFO - 2024-01-22 20:23:04,553][__main__] Attempting retreival of download url data for "The Office - s06e10 - Murder.mp4"
